ligand	receptor
IL10	IL10RA
RARRES2	CMKLR1
SELE	CEACAM1
COL4A6	SDC4
TNR	ITGA8
IL4	IL13RA2
IL1B	IL1RAP
WNT2	FZD9
FN1	SDC1
WNT8B	FZD1
TNXB	ITGAV
TNF	TNFRSF1B
IL1F8	IL1RL2
ICAM5	CD209
COL6A1	CD44
LAMC3	ITGB8
JAM3	ITGB2
SPP1	CD44
COL2A1	ITGA9
IL19	IL20RB
CCL21	ACKR4
SEMA3E	PLXND1
COL9A1	SDC1
THBS2	SDC4
WNT3A	FZD10
HLA-B	KIR3DL2
COL6A6	ITGA2
CXCL6	CXCR1
LAMB1	SV2A
JAG1	NOTCH4
THBS1	SDC1
IL4	IL13RA1
IL22	IL10RB
EFNA3	EPHA7
TNFSF18	TNFRSF18
CCL11	CCR3
SEMA3D	PLXNA1
SEMA3A	PLXNA3
THBS4	SDC1
ITGA4	ITGB7
ANGPTL4	SDC1
PTHLH	PTH1R
EBI3	IL27RA
LCK	CD8A
PRSS1	PARD3
ANGPT2	TEK
TNR	SDC1
GIP	GIPR
JAM1	ITGB2
IL24	IL22RA1
L1CAM	ITGB3
EFNA3	EPHA1
GDF7	ACVR2A
NMS	NMUR2
DLK1	NOTCH3
COL6A6	SDC4
SEMA4A	PLXNB2
LAMC3	CD44
PRSS3	F2RL3
CXCL1	CXCR1
EFNA2	EPHA1
COL1A2	GP6
JAG1	NOTCH3
VEGFD	VEGFR2
COL4A2	ITGB8
PENK	OPRM1
PRSS2	F2RL3
IL13	IL4R
COL4A3	SDC1
FGF4	FGFR4
WNT2	LRP5
WNT7B	FZD10
EFNA1	EPHA7
INHBE	ACVR2A
LAMA4	ITGAV
WNT2B	FZD7
WNT7A	FZD1
CALCA	CALCRL
WNT2	FZD7
EFNB1	EPHB4
COMP	ITGA3
WNT3	FZD9
HLA-DQA2	CD4
COL1A2	SDC1
THBS3	ITGB1
WNT2	FZD3
TNFSF4	TNFRSF4
PDGFB	PDGFRB
PENK	OPRL1
FGF7	FGFR1
MIF	CD74
PYY	GPR83
JAG1	NOTCH1
WNT9A	LRP5
WNT7B	FZD8
THBS2	SDC1
EFNA2	EPHA7
CD40LG	ITGA5
INSL3	RXFP3
NRXN1	NLGN1
LAMC3	ITGA6
COL4A2	ITGA11
FGF17	FGFR3
LTA	LTBR
VWF	ITGB3
COL9A1	ITGAV
WNT16	FZD7
ANGPTL4	CDH5
COL4A4	ITGA2
LAMB2	ITGA7
NPY	NPY6R
TGFB1	TGFBR1
WNT4	FZD9
NGF	NTRK1
KNG1	BDKRB2
COL6A3	ITGB1
NRXN2	NLGN2
COL4A2	GP6
INHBABB	ACVR2A
LAMA4	ITGA9
RLN1	RXFP4
WNT10B	FZD8
NTF3	NTRK3
PSAP	GPR37
KLK3	NGFR
IFNA10	IFNAR1
RARRES2	GPR1
RAET1E	KLRK1
WNT10B	FZD5
NTS	NTSR2
COL9A1	ITGB8
TGFB3	ACVR1C
WNT7A	FZD5
F2	PARD3
EFNA5	EPHA1
LAMA5	ITGB8
AVP	AVPR2
ANGPTL1	PIRB
SEMA3B	NRP1
LAMB1	ITGA3
UCN3	CRHR1
SLURP2	CHRNA10
ANGPTL4	CDH11
LAMC2	ITGA7
NPPC	NPR2
TGFB3	TGFBR2
GZMA	F2RL3
SLURP2	CHRNA7
MSTN	TGFBR1
WNT6	FZD4
IGF1	ITGA6
CCL27	CCR10
CCL5	CCR5
NPY	NPY5R
PDYN	OPRK1
NECTIN1	NECTIN3
COL4A5	ITGB8
HLA-C	CD8A
LRRC4	NTNG2
DLK1	NOTCH4
TAC2	TACR3
THBS1	CD36
WNT10A	FZD8
LAMC2	ITGA1
FGF3	FGFR1
CCL8	ACKR4
RELN	ITGB1
CCL14	CCR1
LAMB3	ITGA3
ITGB2	CD226
IL5	CSF2RB
FGF23	FGFR3
SEMA5B	PLXNA3
CD40LG	ITGA2B
GHRH	GHRHR
COL4A5	SDC1
COL4A2	SDC4
HLA-G	CD8A
BMP8A	ACVR2B
SELPLG	SELE
COL4A3	CD44
COL6A6	ITGA10
WNT8B	FZD9
TNR	ITGB1
THBS1	SDC4
CDH2	CDH2
SLURP1	CHRNB2
MDK	SDC1
PTN	SDC2
LAMA5	ITGA7
WNT1	LRP5
COL2A1	ITGA3
VWF	ITGAV
SLURP2	CHRND
BMP8A	ACVR2A
SELPLG	SELP
SEMA3A	PLXNA4
CD80	CD28
SLURP2	CHRNA3
IL20	IL20RA
MSTN	ACVR1B
FCER2A	CR2
CCL25	CCR9
IL1F10	IL1RAP
COL2A1	ITGA2
AMH	BMPR1A
CXCL6	ACKR1
IL2	IL2RG
GCG	GLP2R
COL6A2	SDC1
IFNA8	IFNAR1
EFNA5	EPHA4
TSLP	CRLF2
SEMA4D	PLXNB3
CXCL8	CXCR1
SEMA4D	CD72
LAMB1	ITGA1
WNT11	FZD8
LAMA3	ITGA2
WNT3	LRP6
TNN	ITGA9
COL4A2	ITGA1
SLURP2	CHRNA1
F2	F2RL3
EFNA2	EPHA8
WNT10B	FZD4
CSF3	CSF3R
EFNA4	EPHA4
IFNW1	IFNAR1
COL6A2	ITGA11
LAMC3	ITGA3
LAMA2	ITGA1
WNT2B	LRP6
XCL1	XCR1
WNT10B	FZD1
AGRN	DAG1
COL4A4	ITGA9
FGF10	FGFR2
WNT3A	FZD1
CCL11	ACKR1
IL31	OSMR
DLL1	NOTCH4
PDGFA	PDGFRB
BMP5	ACVR2B
GAS6	AXL
GDF7	BMPR1A
THBS2	ITGB3
COL4A4	SDC1
SEMA4D	PLXNB2
WNT8A	FZD9
IL22	IL22RA1
BMP8B	ACVR1
CCL23	CCR1
PYY	NPY1R
COL4A4	CD44
WNT7A	FZD6
TNFSF10	TNFRSF10B
NTS	NTSR1
GDF9	BMPR2
HLA-E	KLRC1
ANXA1	LXA4
COL1A1	ITGA1
EFNA3	EPHA2
COL4A3	GP6
PVR	TIGIT
GDF2	ACVRL1
THBS1	ITGAV
FGF17	FGFR2
VWF	ITGA2B
PPY	GPR83
PPY	NPY4R
CORT	SSTR2
CALCB	CALCR
GHRH	GHSR
NPVF	NPFFR1
BMP8A	ACVR1
ITGB2	ICAM2
SEMA6D	KDR
CCL3L1	CCR1
SEMA5A	PLXNA1
COL4A4	ITGB1
HLA-G	LILRB1
L1CAM	ITGA4
COL6A3	ITGAV
TNN	ITGB6
GDF10	ACVR1B
GNRH1	GNRHR
COL4A1	ITGAV
F2	F2RL2
FGF21	FGFR3
WNT8A	FZD4
EFNB3	EPHB1
DLL3	NOTCH3
COL6A1	ITGA11
COL9A3	SDC1
WNT3A	FZD8
PTN	ALK
CCK	CCKAR
NECTIN1	CD96
LAMB2	ITGB1
INSL5	RXFP1
CLEC1B	KLRB1
LAMA3	ITGB8
IL12B	IL12RB1
INSL5	RXFP3
IL1F6	IL1RAP
SEMA3F	PLXNA1
IL33	IL1RL1
SEMA3C	PLXND1
GDF11	ACVR2A
PRL	PRLR
IAPP	CALCR
GP1BA	ITGB2
FGF8	FGFR4
HLA-DMB	CD4
SLURP2	CHRNB2
VTN	ITGA8
THBS4	SDC4
WNT7A	FZD10
WNT8A	FZD1
WNT10A	FZD2
THPO	MPL
COL6A3	ITGA3
GHRH	VIPR1
LAMB3	SV2A
ITGA4	ITGB1
WNT2B	FZD4
NRG1	ITGAV
SLURP2	CHRNE
BTC	ERBB4
IFNW1	IFNAR2
EDN3	EDNRA
COL6A1	ITGA1
PTPRC	CD22
LAMA5	SV2B
INHBABB	ACVR2B
LAMA1	ITGA2
POMC	MC2R
COL4A4	ITGAV
HLA-F	LILRB1
MDK	NCL
DSC1	DSG2
COL9A1	GP6
POSTN	ITGB5
COL1A1	CD44
CXCL11	ACKR1
CCL27	CCR2
WNT2	FZD1
CD86	CD28
CTF1	LIFR
SLURP2	CHRNB3
COL4A3	ITGB1
RAET1G	KLRK1
F11R	JAM2
HGF	MET
IL17AF	IL17RC
CDH1	ITGAE
F11R	JAM3
DLL4	NOTCH4
C4A	CR2
LHB	LHCGR
GDF3	ACVR1B
CXCL3	ACKR1
LAMC1	ITGA9
SST	SSTR2
OSM	IL6ST
WNT2B	FZD5
COL1A1	ITGAV
SCT	SCTR
SAA1	FPR2
BMP7	ACVR2B
MIF	ACKR3
COL6A5	ITGA1
FGF8	FGFR3
SEMA3B	PLXNA1
PECAM1	PECAM1
LAMC2	ITGAV
HLA-F	CD8A
IL1B	IL1R2
EFNA5	EPHA7
BMP6	ACVR2A
MSTN	ACVR2A
COL6A2	ITGA3
COL9A2	ITGA10
CXCL12	CXCR4
PDGFA	PDGFRA
LAMA3	ITGB1
TGFB1	ACVR1B
PRSS3	F2R
CD40LG	ITGB3
NPW	NPBWR1
COL1A1	SDC1
CCL18	ACKR1
WNT1	FZD8
TNN	ITGA2B
PVR	CD226
COL6A5	ITGB8
NTF3	NTRK1
LAMB2	SV2C
WNT10B	FZD3
IL11	IL6ST
INHBB	ACVR2A
SEMA3F	PLXNA2
LAMA4	ITGA6
WNT6	FZD8
IL21	IL21R
EFNB2	EPHB1
IFNA4	IFNAR1
SLURP1	CHRNA3
EFNB1	EPHB2
GDF3	ACVR2A
CCL15	CCR1
HLA-B	CD8B2
HLA-DOA	CD4
IL33	IL1RAP
COL9A2	ITGB1
DHH	PTCH2
WNT10B	FZD2
COL6A2	SDC4
WNT7B	FZD9
IL2	IL2RA
ANGPT2	ITGB1
TNN	ITGB1
ANGPTL4	ITGAV
UCN3	CRHR2
TIGIT	NECTIN2
FGF18	FGFR4
SEMA4A	PLXNA1
LAMA2	ITGA7
SEMA3C	PLXNA4
CXCL11	ACKR3
NPPA	NPR1
OCLN	OCLN
COL6A1	ITGA10
EFNB1	EPHB3
COL4A1	ITGA2
CXCL11	CXCR3
IL1F10	IL1RL2
SEMA3G	NRP2
TNC	ITGA8
FGF16	FGFR3
COMP	ITGB1
IHH	PTCH1
GDF11	ACVR2B
SEMA4A	PLXNA4
FGF6	FGFR4
WNT4	FZD5
MDK	ITGB1
CDH1	ITGA1
SLURP2	CHRNB1
ICOSL	CTLA4
RLN3	RXFP3
PDYN	OPRM1
HLA-C	CD8B
WNT7A	FZD4
LAMB2	SV2B
MSTN	ACVR2B
NODAL	ACVR2B
LAMA2	ITGB8
CXCL10	ACKR1
COL6A2	ITGAV
PYY	NPY5R
SEMA3C	PLXNA1
LAMB3	ITGB1
LAMA4	SV2B
WNT9B	FZD9
SPP1	ITGA9
PF4V1	CXCR3
LAMC2	ITGB4
IL9	IL9R
COL6A1	SDC4
LAMC3	ITGA2
BMP4	BMPR2
SEMA3D	PLXNA3
NPFF	NPFFR1
FGF15	FGFR2
CCL17	ACKR2
JAG2	NOTCH2
ICAM1	ITGAX
LAMB2	SV2A
ENTPD1	TMIGD3
TSLP	IL7R
IL23A	IL23R
CD226	PVR
JAM2	ITGAV
FASL	FAS
CCL17	ACKR1
IFNA10	IFNAR2
ICAM2	ITGB2
COL4A1	ITGA1
WNT3	FZD7
SST	SSTR5
WNT4	FZD8
IL1F6	IL1RL2
WNT2B	LRP5
PRSS1	F2R
PLG	F2R
COL9A1	ITGA2
COL9A3	ITGAV
LAMC1	SV2A
JAM3	JAM3
COL4A5	ITGA10
GAS6	TYRO3
WNT7A	LRP6
WNT7A	FZD8
IFNA6	IFNAR2
GHRL	GHSR
CXCL9	ACKR1
LAMB1	DAG1
WNT6	LRP6
LAMA4	ITGA2
IL20	IL20RB
CD1D	CEACAM5
EFNB1	EPHA4
TGFB2	TGFBR1
WNT2B	FZD8
CCL2	ACKR2
LRRC4C	NTNG1
IL1A	IL1RAP
NMU	NMUR2
FN1	ITGA2B
CCL7	CCR1
VIP	VIPR1
COL9A3	GP6
POMC	OPRM1
MDK	PTPRZ1
TAC4	TACR1
COL9A3	CD44
COL4A3	ITGA11
KLK3	NTRK1
BMP4	ACVR2B
FGF10	FGFR1
FGF15	FGFR3
EDA	EDA2R
INHBABB	ACVR1B
COL6A6	ITGB1
LAMA5	ITGAV
ADIPOQ	ADIPOR1
BMP6	BMPR1A
CCL5	CCR3
THBS1	CD47
IFNA7	IFNAR1
LAMA1	ITGA7
TGFB3	TGFBR1
CCL16	ACKR1
FGF1	FGFR1
EFNA1	EPHA2
HLA-DOB	CD4
PRSS1	F2RL2
PPBP	CXCR2
COL4A2	ITGA9
FCER2A	ITGAM
L1CAM	ITGB7
WNT2B	FZD10
NPY	GPR83
BMP5	BMPR2
VTN	ITGB1
LAMA4	ITGA7
CDH4	CDH4
COL1A2	CD44
ADIPOQ	ADIPOR2
WNT2	FZD10
PRSS2	F2RL1
FCER2A	ITGAX
FCER2A	ITGB3
LAMB1	ITGA6
WNT10A	FZD5
INSL5	RXFP4
SLURP2	CHRNA4
COMP	SDC4
SLURP1	CHRNE
CXCL1	ACKR1
WNT4	FZD4
PROS1	AXL
ANXA1	FPR1
SEMA3D	NRP1
IL1A	IL1R1
FGF9	FGFR3
COL4A1	ITGA10
IL19	IL20RA
EFNA1	EPHA1
SEMA6A	PLXNA4
HCRT	HCRTR2
CCL8	CCR2
POSTN	ITGAV
DMP1	ITGAV
ULBP1	HCST
LTA	TNFRSF1B
TRH	TRHR
DLL4	NOTCH2
PRSS1	F2RL3
WNT8B	FZD4
MDK	SDC2
VTN	ITGAV
ANXA1	FPR2
LAMB3	SV2B
IL9	IL2RG
SELL	MADCAM1
CCL3L3	CCR1
WNT10B	FZD9
BMP8A	BMPR2
L1CAM	L1CAM
NFASC	CNTNAP1
WNT9B	FZD7
POMC	OPRD1
LAMB2	ITGA6
LAMB3	ITGB8
LGALS9	CD45
NPFF	NPFFR2
COL1A2	ITGA2
COL4A5	ITGA9
LAMC1	ITGB8
HLA-F	CD8B2
SEMA3D	PLXNA2
THY1	ITGB2
FN1	ITGA5
SEMA4G	PLXNB2
THBS3	ITGA3
IL1F9	IL1RL2
COL1A1	ITGA10
CD46	JAG1
HLA-E	CD8B
COL4A1	CD44
CD99	CD99
EFNA3	EPHA4
INHBC	ACVR2B
TNFSF13B	TNFRSF17
ANGPTL4	SDC2
BMP8A	BMPR1B
SEMA7A	ITGB1
C3	ITGAM
FN1	ITGB1
SPP1	ITGA5
CD80	CTLA4
IL7	IL2RG
INHBB	ACVR2B
OSM	LIFR
WNT10B	FZD7
WNT6	FZD5
WNT1	LRP6
WNT11	FZD7
IL17C	IL17RA
LAMB3	ITGAV
GH	GHR
NMU	NMUR1
COL1A2	ITGB8
FGF1	FGFR2
GDF6	BMPR2
IFNA6	IFNAR1
LAMC1	ITGA6
LAMC2	SV2B
LAMC2	SV2C
CCL25	ACKR4
IFNA9	IFNAR2
SPP1	ITGB1
WNT8B	LRP5
IL16	CD4
GUCA2B	GUCY2C
UCN2	CRHR2
WNT4	FZD1
LAMA2	ITGB1
LAMB2	CD44
WNT5B	FZD6
IFNE	IFNAR1
COL4A2	CD44
TNFSF9	TNFRSF9
WNT9B	FZD3
NPPB	NPR1
CCL5	ACKR2
COL9A2	CD44
COL1A2	ITGA1
AVP	AVPR1A
EFNB2	EPHA4
FGF15	FGFR4
NRXN3	NLGN2
IL1A	IL1R2
VTN	ITGA2B
GZMA	F2R
GRP	GRPR
THBS3	ITGB3
WNT2	FZD4
EDN1	EDNRB
IGF2	ITGA6
SEMA3D	PLXNA4
COL4A5	ITGA11
WNT10B	FZD10
FN1	ITGA4
SPP1	ITGB6
CXCL16	CXCR6
CCL5	CCR1
IL24	IL20RA
SEMA3G	PLXNA2
CCL7	ACKR2
APP	CD74
IFNA2	IFNAR2
LAMA3	ITGB4
EFNA5	EPHA3
WNT8A	FZD7
NPY	NPY4R
POMC	MC3R
VEGFB	VEGFR1
LAMB1	ITGB1
HLA-C	KIR2DL2
VTN	ITGB8
CD209	CEACAM1
COL6A5	GP6
DSPP	ITGB1
EDA	EDAR
PPY	NPY5R
WNT16	LRP6
EFNA4	EPHA2
SPP1	ITGA8
LAMB1	SV2C
APLN	APLNR
WNT1	FZD3
LAMA3	ITGA6
IFNA9	IFNAR1
FN1	ITGB8
GH	PRLR
TNC	ITGAV
ANGPTL4	SDC4
ENTPD1	ADORA2B
FGF15	FGFR1
DLL3	NOTCH1
WNT6	FZD9
WNT5A	FZD6
INHBA	ACVR2A
COL6A6	ITGA1
LAMA3	ITGA3
ANGPTL7	PIRB
FN1	SDC4
CTSG	F2R
FGF16	FGFR1
COL4A6	ITGA2
EFNA2	EPHA5
WNT8A	LRP6
LAMB3	SV2C
COL6A5	SDC4
FLT3L	FLT3
CNTN2	L1CAM
LAMB1	ITGA9
