	pathway_name	annotation	interaction_name_2	ligand	receptor
FGF9_FGFR4	FGF	Secreted Signaling	FGF9 - FGFR4	FGF9	FGFR4
PDGFA_PDGFRA	PDGF	Secreted Signaling	PDGFA - PDGFRA	PDGFA	PDGFRA
PDGFA_PDGFRB	PDGF	Secreted Signaling	PDGFA - PDGFRB	PDGFA	PDGFRB
PDGFB_PDGFRA	PDGF	Secreted Signaling	PDGFB - PDGFRA	PDGFB	PDGFRA
PDGFB_PDGFRB	PDGF	Secreted Signaling	PDGFB - PDGFRB	PDGFB	PDGFRB
PDGFC_PDGFRA	PDGF	Secreted Signaling	PDGFC - PDGFRA	PDGFC	PDGFRA
PDGFD_PDGFRB	PDGF	Secreted Signaling	PDGFD - PDGFRB	PDGFD	PDGFRB
IGF1_IGF1R	IGF	Secreted Signaling	IGF1 - IGF1R	IGF1	IGF1R
IGF1_ITGA6_ITGB4	IGF	Secreted Signaling	IGF1 - (ITGA6+ITGB4)	IGF1	ITGA6,ITGB4
IHH_PTCH1	HH	Secreted Signaling	IHH - PTCH1	IHH	PTCH1
IHH_PTCH2	HH	Secreted Signaling	IHH - PTCH2	IHH	PTCH2
CCL2_ACKR1	CCL	Secreted Signaling	CCL2 - ACKR1	CCL2	ACKR1
CCL8_ACKR1	CCL	Secreted Signaling	CCL8 - ACKR1	CCL8	ACKR1
CXCL1_ACKR1	CXCL	Secreted Signaling	CXCL1 - ACKR1	CXCL1	ACKR1
CXCL2_ACKR1	CXCL	Secreted Signaling	CXCL2 - ACKR1	CXCL2	ACKR1
CXCL3_ACKR1	CXCL	Secreted Signaling	CXCL3 - ACKR1	CXCL3	ACKR1
CXCL6_ACKR1	CXCL	Secreted Signaling	CXCL6 - ACKR1	CXCL6	ACKR1
CXCL8_ACKR1	CXCL	Secreted Signaling	CXCL8 - ACKR1	CXCL8	ACKR1
CCL11_ACKR1	CCL	Secreted Signaling	CCL11 - ACKR1	CCL11	ACKR1
CXCL12_CXCR4	CXCL	Secreted Signaling	CXCL12 - CXCR4	CXCL12	CXCR4
