Endothelial	Fibroblasts	Immune	Muscle	Myofibroblast_Mesothelium	Neural	Pericytes
SEMA6A / PLXNA4	9.16766059663004	9.57865330898117	22.0342040404921	12.2470819279354	65.6698149734521	85.2427702218723	0
NECTIN2 / CD226	26.494541461684	0	90.4518350532237	0	7.02939641571863	29.0937419531767	0
CD46 / JAG1	62.9889373357845	13.6663671986965	9.37504318373199	16.2950258029722	37.1403923396811	32.9966178241477	100
CXCL5 / ACKR1	89.319456849085	6.10794624340073	0	4.71237628901635	3.27842869220402	3.45520858884956	3.53441718489938
WNT3 / FZD9 + LRP5	82.3147439713433	27.6086931151338	0	0	0	44.6455137353803	55.0508613595096
WNT11 / FZD9	80.3271443984009	11.7937089880505	0	0	0	50.9668871543347	45.7767096127786
PRSS3 / F2R	45.4561847550998	27.8760182309939	8.64224219020742	9.86720562892893	100	14.2285914286534	34.4089712494275
F2 / F2R	45.4561847550998	27.8760182309939	8.64224219020742	9.86720562892893	100	14.2285914286534	34.4089712494275
IHH / PTCH2	23.2749103579284	71.4417976492909	18.6259598789495	27.3132242007602	100	16.0716475319474	51.6780402264368
SHH / PTCH2	23.2749103579284	71.4417976492909	18.6259598789495	27.3132242007602	100	16.0716475319474	51.6780402264368
IHH / PTCH1	19.0189548361654	45.855966575392	9.21956279556333	17.2695080411679	100	17.2095384908405	21.2137633391851
SHH / PTCH1	19.0189548361654	45.855966575392	9.21956279556333	17.2695080411679	100	17.2095384908405	21.2137633391851
TNFSF10 / TNFRSF10B	68.5446453052168	18.6276210736142	94.1417901145831	30.2436211949702	27.5217447751461	4.73360448724055	22.2278200812615
GDF15 / TGFBR2	100	12.6543066974637	18.8189493520322	13.8451850546445	16.2154482030204	29.985914267859	19.1618451141105
CDH1 / ITGAE + ITGB7	11.7904366138386	13.6746873048965	89.6419208776872	0	10.7170112473705	0	17.0891200357434
LAMA3 / SV2A	25.0119673815265	24.0080328134504	0	49.7149072204856	38.1101645633367	100	33.4706311166962
LAMB3 / SV2A	25.0119673815265	24.0080328134504	0	49.7149072204856	38.1101645633367	100	33.4706311166962
LAMC2 / SV2A	25.0119673815265	24.0080328134504	0	49.7149072204856	38.1101645633367	100	33.4706311166962
